Comp,Squad,Number,Player,Pos,Age,Born,Nation,Value,LastClub
La Liga,FC Barcelona,1,Marc-André ter Stegen,GK,28,1992,DEU,60000000,False
La Liga,FC Barcelona,13,Neto,GK,30,1989,BRA,6000000,False
La Liga,FC Barcelona,26,Iñaki Peña,GK,21,1999,ESP,3000000,False
La Liga,FC Barcelona,36,Arnau Tenas,GK,19,2001,ESP,1500000,False
La Liga,FC Barcelona,4,Ronald Araújo,DFC,21,1999,URY,25000000,False
La Liga,FC Barcelona,15,Clément Lenglet,DFC,25,1995,FRA,25000000,False
La Liga,FC Barcelona,28,Óscar Mingueza,DFC,21,1999,ESP,15000000,False
La Liga,FC Barcelona,3,Gerard Piqué,DFC,33,1987,ESP,10000000,False
La Liga,FC Barcelona,23,Samuel Umtiti,DFC,26,1993,FRA,8000000,False
La Liga,FC Barcelona,-,Santi Ramos Mingo,DFC,18,2001,ARG,500000,False
La Liga,FC Barcelona,18,Jordi Alba,DFL,31,1989,ESP,20000000,False
La Liga,FC Barcelona,24,Júnior Firpo,DFL,23,1996,ESP,8000000,False
La Liga,FC Barcelona,2,Sergiño Dest,DFR,19,2000,USA,30000000,False
La Liga,FC Barcelona,20,Sergi Roberto,DFR,28,1992,ESP,18000000,False
La Liga,FC Barcelona,-,Moussa Wagué,DFR,21,1998,SEN,4000000,True
La Liga,FC Barcelona,5,Sergio Busquets,MFD,31,1988,ESP,9000000,False
La Liga,FC Barcelona,19,Matheus Fernandes,MFD,22,1998,BRA,1500000,False
La Liga,FC Barcelona,21,Frenkie de Jong,MF,23,1997,NLD,90000000,False
La Liga,FC Barcelona,16,Pedri,MF,17,2002,ESP,70000000,True
La Liga,FC Barcelona,27,Ilaix Moriba,MF,17,2003,ESP,25000000,False
La Liga,FC Barcelona,8,Miralem Pjanić,MF,30,1990,BIH,20000000,False
La Liga,FC Barcelona,12,Riqui Puig,MF,20,1999,ESP,18000000,False
La Liga,FC Barcelona,6,Carles Aleñá,MF,22,1998,ESP,15000000,True
La Liga,FC Barcelona,12,Rafinha,MF,27,1993,BRA,15000000,True
La Liga,FC Barcelona,14,Philippe Coutinho,MFO,28,1992,BRA,30000000,True
La Liga,FC Barcelona,22,Ansu Fati,FWL,17,2002,ESP,60000000,False
La Liga,FC Barcelona,29,Konrad de la Fuente,FWL,18,2001,USA,4000000,False
La Liga,FC Barcelona,10,Lionel Messi,FWR,33,1987,ARG,80000000,False
La Liga,FC Barcelona,11,Ousmane Dembélé,FWR,23,1997,FRA,50000000,False
La Liga,FC Barcelona,17,Francisco Trincão,FWR,20,1999,PRT,22000000,False
La Liga,FC Barcelona,30,Álex Collado,FWR,21,1999,ESP,5000000,False
La Liga,FC Barcelona,7,Antoine Griezmann,FW,29,1991,FRA,60000000,False
La Liga,FC Barcelona,9,Martin Braithwaite,FWC,29,1991,DNK,9000000,False
La Liga,Real Madrid,1,Thibaut Courtois,GK,28,1992,BEL,60000000,False
La Liga,Real Madrid,13,Andriy Lunin,GK,21,1999,UKR,3000000,True
La Liga,Real Madrid,26,Diego Altube,GK,20,2000,ESP,500000,False
La Liga,Real Madrid,33,Luis López,GK,19,2001,ESP,150000,False
La Liga,Real Madrid,42,Lucas Cañizares,GK,18,2002,ESP,NA,False
La Liga,Real Madrid,5,Raphaël Varane,DFC,27,1993,FRA,70000000,False
La Liga,Real Madrid,3,Éder Militão,DFC,22,1998,BRA,40000000,False
La Liga,Real Madrid,4,Sergio Ramos,DFC,34,1986,ESP,10000000,False
La Liga,Real Madrid,6,Nacho Fernández,DFC,30,1990,ESP,10000000,False
La Liga,Real Madrid,32,Victor Chust,DFC,20,2000,ESP,400000,False
La Liga,Real Madrid,39,Pablo Ramón,DFC,19,2001,ESP,50000,False
La Liga,Real Madrid,23,Ferland Mendy,DFL,25,1995,FRA,50000000,False
La Liga,Real Madrid,12,Marcelo,DFL,32,1988,BRA,7500000,False
La Liga,Real Madrid,35,Miguel Gutiérrez,DFL,18,2001,ESP,5000000,False
La Liga,Real Madrid,2,Daniel Carvajal,DFR,28,1992,ESP,30000000,False
La Liga,Real Madrid,19,Álvaro Odriozola,DFR,24,1995,ESP,10000000,True
